"~id","~start_node_id","~end_node_id","~relationship_type"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6919780827454767105","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:89","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6922032627268452353","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:90","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6924284427082137601","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:91","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6926536226895822849","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:93","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6928788026709508097","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:95","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6931039826523193345","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:96","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6933291626336878593","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:97","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6935543426150563841","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:99","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6937795225964249089","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:106","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:1","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6917529027641081858","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:88","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:2","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6919780827454767106","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:90","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:2","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6922032627268452354","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:91","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:2","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6917529027641081859","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:89","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:3","PERTENECE_A"
"5:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:6919780827454767107","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:100","4:72aa5949-bf2d-4440-bfb5-6adf0d81fa14:3","PERTENECE_A"
